Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-05T11:22:22.814911,499,0,20,51,0,69294,17192,8255,4.0306,0.0954,2928874.0,102216.14,51839.12,28.6537,0.0171,
2026-05-05T11:22:23.816851,522,0,1,44,0,63588,10880,16029,5.8445,0.2152,72504.87,31335.36,31271.51,2.3138,0.3012,
2026-05-05T11:22:24.818244,518,0,24,38,0,6698,5815,6463,1.1518,0.5165,27741.99,24967.46,23375.95,1.1111,0.4435,
2026-05-05T11:22:25.819902,508,0,30,35,0,86306,54177,19656,1.593,0.1399,98394.99,11277.04,12535.0,8.7253,0.1143,
2026-05-05T11:22:26.822087,518,0,30,35,0,34087,18485,6829,1.844,0.1299,44781.49,12267.61,21140.01,3.6504,0.3706,
2026-05-05T11:22:27.823374,513,0,26,40,0,5496,4416,3498,1.2446,0.3529,133690.62,3280.96,10546.67,40.7474,0.077,
2026-05-05T11:22:28.824914,513,0,37,50,0,25191,19432,15161,1.2964,0.3398,12326.04,9643.61,12927.26,1.2782,0.5884,
2026-05-05T11:22:29.826694,487,0,38,50,0,23539,9331,13146,2.5227,0.3999,27134.19,5487.91,16364.79,4.9444,0.5016,
2026-05-05T11:22:30.830756,536,0,61,47,0,4089,1117,5871,3.6607,1.1277,3457.14,2479.07,34500.16,1.3945,5.8118,
2026-05-05T11:22:31.832494,505,0,100,35,0,31927,27786,9869,1.149,0.1653,13598.3,6578.15,26050.87,2.0672,1.2912,
2026-05-05T11:22:32.834194,524,0,84,38,0,44082,28679,21929,1.5371,0.3014,69707.21,29455.53,22670.97,2.3665,0.2286,
2026-05-05T11:22:33.836347,502,0,80,37,0,31590,45315,13407,0.6971,0.1743,73428.13,17354.25,13602.24,4.2311,0.1498,
2026-05-05T11:22:34.837683,524,0,64,47,0,5170,9733,7723,0.5312,0.5182,4498.35,7530.57,9251.51,0.5973,0.7691,
2026-05-05T11:22:35.840140,511,0,54,60,0,99449,55901,8388,1.779,0.054,1283932.86,236056.92,17865.33,5.4391,0.0118,
2026-05-05T11:22:36.841858,500,0,43,57,0,6375,3033,7599,2.1019,0.8077,18776.54,16492.52,14805.99,1.1385,0.4198,
2026-05-05T11:22:37.843704,528,0,43,53,0,51290,9407,7750,5.4523,0.1277,1880704.54,165677.54,11932.59,11.3516,0.0058,
2026-05-05T11:22:38.845698,513,0,37,40,0,22301,8302,7189,2.6862,0.2349,9243.76,2375.3,9722.48,3.8916,0.8368,
2026-05-05T11:22:39.847932,513,0,27,30,0,16795,5722,4298,2.9352,0.1909,1901.08,1950.54,7091.6,0.9746,1.8412,
2026-05-05T11:22:40.849848,475,0,41,27,0,21958,7022,8448,3.127,0.2915,6562.65,3593.67,4801.29,1.8262,0.4727,
2026-05-05T11:22:41.851162,551,0,43,27,0,38025,10116,5677,3.7589,0.1179,13078.93,11417.68,4850.43,1.1455,0.198,
2026-05-05T11:22:42.852889,513,0,56,30,0,11304,4243,3714,2.6642,0.2389,1518273.52,70912.46,13650.37,21.4105,0.0086,
2026-05-05T11:22:43.854727,512,0,57,30,0,10625,12626,5277,0.8415,0.227,14875.89,8096.16,6931.71,1.8374,0.3017,
2026-05-05T11:22:44.856388,505,0,60,40,0,1775,12991,6418,0.1366,0.4346,2043.29,4785.83,6954.2,0.4269,1.0183,
2026-05-05T11:22:45.857896,520,0,63,54,0,5759,8996,6132,0.6402,0.4156,5709.61,2978.92,9298.9,1.9167,1.0702,
2026-05-05T11:22:46.859751,508,0,70,63,0,7622,10134,5630,0.7521,0.3171,8469.06,9232.99,9481.59,0.9173,0.5356,
2026-05-05T11:22:47.861398,492,0,67,69,0,14532,9873,1990,1.4719,0.0815,8443.39,2768.38,3125.25,3.0499,0.2787,
2026-05-05T11:22:48.863137,540,0,61,66,0,5957,10022,6603,0.5944,0.4132,4099.52,6257.36,10522.01,0.6552,1.0159,
2026-05-05T11:22:49.864977,512,0,63,61,0,15594,15324,13906,1.0176,0.4498,7458.8,10326.8,7288.34,0.7223,0.4098,
2026-05-05T11:22:50.866564,511,0,64,60,0,5935,12902,14115,0.46,0.7493,1738.74,14009.32,11568.8,0.1241,0.7346,
2026-05-05T11:22:51.868016,492,0,83,57,0,7587,13423,10594,0.5652,0.5042,5351.53,5894.83,4591.11,0.9078,0.4082,
2026-05-05T11:22:52.869256,536,0,100,60,0,2438,11658,4474,0.2091,0.3174,1826.09,4368.23,8682.59,0.418,1.4017,
2026-05-05T11:22:53.871214,512,0,94,66,0,8404,5452,5376,1.5415,0.388,5521.18,2894.58,6416.25,1.9074,0.7624,
2026-05-05T11:22:54.873026,484,0,93,64,0,4620,21553,15516,0.2144,0.5928,2786.68,4014.15,8945.16,0.6942,1.3153,
2026-05-05T11:22:55.874679,538,0,80,67,0,43576,20757,6114,2.0993,0.095,11375.3,3533.69,4891.6,3.2191,0.3281,
2026-05-05T11:22:56.876283,518,0,63,63,0,341309,312161,64646,1.0934,0.0989,3433799.87,845149.19,141691.65,4.063,0.0331,
2026-05-05T11:22:57.878332,514,0,50,57,0,11303,5561,3061,2.0325,0.1815,366635.16,51738.21,107737.95,7.0864,0.2575,
2026-05-05T11:22:58.880008,488,0,34,56,0,171666,77420,49649,2.2173,0.1993,217260.61,138575.6,78969.91,1.5678,0.2219,
2026-05-05T11:22:59.881621,536,0,24,48,0,28285,106713,35268,0.2651,0.2612,8162.03,33075.02,67819.91,0.2468,1.6446,
2026-05-05T11:23:00.883365,514,0,34,60,0,67504,81235,22487,0.831,0.1512,93583.81,124048.77,39628.96,0.7544,0.1821,
2026-05-05T11:23:01.885435,512,0,34,60,0,64055,88761,40731,0.7217,0.2665,189083.07,136514.87,20804.25,1.3851,0.0639,
2026-05-05T11:23:02.887444,493,0,41,67,0,126029,46546,65093,2.7076,0.3772,477555.19,182909.2,54219.2,2.6109,0.0821,
2026-05-05T11:23:03.888944,534,0,48,64,0,8037,2110,1306,3.809,0.1287,954923.8,16464.69,20104.87,57.9983,0.0207,
2026-05-05T11:23:04.890514,511,0,34,48,0,2712,5539,4259,0.4896,0.5162,194648.74,31267.18,24789.29,6.2253,0.1097,
2026-05-05T11:23:05.892040,513,0,51,47,0,15543,999,3161,15.5586,0.1911,340149.65,49818.79,12987.25,6.8277,0.0333,
2026-05-05T11:23:06.893860,512,0,43,23,0,13374,9786,4442,1.3666,0.1918,160644.73,64676.81,25461.18,2.4838,0.113,
2026-05-05T11:23:07.895729,515,0,34,29,0,217495,108176,81215,2.0106,0.2494,243699.42,190506.12,66634.15,1.2792,0.1535,
2026-05-05T11:23:08.897387,510,0,47,34,0,23503,3671,5776,6.4023,0.2126,2634459.99,309975.16,23682.43,8.4989,0.008,
2026-05-05T11:23:09.899040,483,0,29,17,0,34696,51260,25945,0.6769,0.3018,323993.67,65494.05,20984.39,4.9469,0.0539,
2026-05-05T11:23:10.900682,545,0,29,41,0,19499,3527,5803,5.5285,0.252,9652.41,7425.83,9843.02,1.2998,0.5763,
2026-05-05T11:23:11.902681,514,0,34,29,0,151159,31638,19967,4.7778,0.1092,89660.02,28274.74,17821.75,3.171,0.1511,
2026-05-05T11:23:12.904288,512,0,16,24,0,29932,29632,14673,1.0101,0.2463,3258.21,3154.48,12240.05,1.0329,1.9087,
2026-05-05T11:23:13.905892,499,0,26,40,0,47965,3504,4177,13.6886,0.0812,1246461.66,25315.3,11579.23,49.2375,0.0091,
2026-05-05T11:23:14.908353,528,0,20,17,0,31467,17815,4621,1.7663,0.0938,153852.52,61204.55,16565.52,2.5137,0.077,
2026-05-05T11:23:15.910043,510,0,11,29,0,17418,21252,23434,0.8196,0.606,59731.86,33054.33,27279.55,1.8071,0.294,
2026-05-05T11:23:16.911992,515,0,38,38,0,22921,14855,6950,1.543,0.184,35055.98,17156.67,19392.82,2.0433,0.3714,
2026-05-05T11:23:17.914437,502,0,23,35,0,156663,77627,39658,2.0182,0.1693,113570.65,11603.04,8844.69,9.788,0.0707,
2026-05-05T11:23:18.916294,523,0,26,48,0,597929,68129,68422,8.7764,0.1027,39690.57,70227.88,111978.22,0.5652,1.0187,
2026-05-05T11:23:19.918096,513,0,34,37,0,65149,14988,16181,4.3467,0.2019,674165.24,68217.66,287947.59,9.8826,0.3879,
2026-05-05T11:23:20.920074,484,0,21,27,0,53182,8518,11357,6.2435,0.1841,331447.15,64815.01,19631.92,5.1137,0.0495,
2026-05-05T11:23:21.921843,539,0,27,16,0,52067,71026,43115,0.7331,0.3503,501667.74,219548.66,90780.12,2.285,0.1259,
2026-05-05T11:23:22.923756,518,0,29,23,0,135386,53736,14359,2.5195,0.0759,113860.89,22061.08,11846.79,5.1612,0.0872,
2026-05-05T11:23:23.925395,512,0,27,34,0,103143,21009,18205,4.9095,0.1466,25613.0,14305.0,21036.7,1.7905,0.527,E1
2026-05-05T11:23:24.927127,501,0,26,34,0,11366,11716,13293,0.9701,0.5759,6802.85,8234.09,12703.61,0.8262,0.8448,
2026-05-05T11:23:25.928729,525,0,43,43,0,103662,54787,14291,1.8921,0.0902,51529.35,23440.43,13114.22,2.1983,0.1749,
2026-05-05T11:23:26.930205,510,0,38,38,0,36672,24692,27878,1.4852,0.4543,30189.39,9170.47,11449.47,3.292,0.2909,
2026-05-05T11:23:27.932482,516,0,53,40,0,8039,6889,26468,1.1669,1.773,4383.91,13753.62,28738.33,0.3187,1.5845,
2026-05-05T11:23:28.935280,512,0,74,40,0,65964,71957,29256,0.9167,0.2121,57292.69,52529.07,38596.98,1.0907,0.3515,
2026-05-05T11:23:29.937117,515,0,56,44,0,87957,65176,32120,1.3495,0.2098,41605.89,13974.79,20949.76,2.9772,0.3769,
2026-05-05T11:23:30.939113,510,0,61,44,0,20300,14418,12604,1.408,0.363,6290.13,1665.61,10432.63,3.7765,1.3113,
2026-05-05T11:23:31.941095,486,0,56,47,0,19297,42714,11161,0.4518,0.18,5968.92,6883.62,5942.16,0.8671,0.4623,
2026-05-05T11:23:32.942757,532,0,34,63,0,18574,23180,16037,0.8013,0.3841,14590.36,10510.24,13468.49,1.3882,0.5366,
2026-05-05T11:23:33.947030,525,0,38,61,0,12628,10141,11302,1.2452,0.4964,11535.38,5011.37,13569.37,2.3018,0.8201,
2026-05-05T11:23:34.948449,513,0,50,60,0,31466,4377,20860,7.1889,0.582,7303.24,5658.17,4705.5,1.2907,0.363,
2026-05-05T11:23:35.950150,500,0,50,47,0,9260,19734,10449,0.4692,0.3604,6516.96,12709.45,8767.9,0.5128,0.456,
2026-05-05T11:23:36.951814,525,0,66,43,0,46028,63179,17957,0.7285,0.1644,24204.69,12736.19,13655.26,1.9005,0.3697,
2026-05-05T11:23:37.952995,513,0,56,47,0,68921,40413,10604,1.7054,0.097,21476.67,17359.44,8179.71,1.2372,0.2106,
2026-05-05T11:23:38.954286,512,0,44,48,0,30716,21214,12902,1.4479,0.2484,70193.32,16196.95,21946.82,4.3337,0.254,
2026-05-05T11:23:39.956610,513,0,40,63,0,23911,13282,17635,1.8003,0.4741,9936.05,11190.47,13267.56,0.8879,0.628,
2026-05-05T11:23:40.958259,500,0,34,53,0,34068,10591,7153,3.2167,0.1602,1042079.12,127482.77,30241.45,8.1743,0.0259,
2026-05-05T11:23:41.959794,526,0,38,41,0,176872,113056,109514,1.5645,0.3777,513817.54,156400.77,123779.84,3.2853,0.1847,
2026-05-05T11:23:42.962304,488,0,41,40,0,77688,108448,23734,0.7164,0.1275,64708.61,84503.93,31032.26,0.7657,0.208,
2026-05-05T11:23:43.964564,539,0,38,47,0,103022,35957,17699,2.8651,0.1274,46541.46,16416.68,23267.1,2.835,0.3696,
2026-05-05T11:23:44.965995,506,0,38,44,0,13270,6463,23757,2.0532,1.2039,14879.93,2733.29,18513.78,5.444,1.0511,
2026-05-05T11:23:45.967445,520,0,56,41,0,14124,17728,15320,0.7967,0.481,5862.01,4519.61,13930.5,1.297,1.3418,
2026-05-05T11:23:46.968952,501,0,67,47,0,11579,12345,22898,0.938,0.9571,3024.99,11436.83,19416.81,0.2645,1.3426,
2026-05-05T11:23:47.971131,524,0,87,37,0,28892,11718,22474,2.4656,0.5534,17043.95,7515.48,28108.79,2.2678,1.1445,
2026-05-05T11:23:48.973268,513,0,97,35,0,14273,29855,18696,0.4781,0.4237,22414.79,18125.14,15980.59,1.2367,0.3942,
2026-05-05T11:23:49.975407,486,0,88,48,0,8377,8084,7077,1.0362,0.4299,7632.83,2683.58,9728.75,2.8443,0.943,
